Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Laurus Bio,"Biotech company focused on creating sustainable, plant-based proteins through fermentation.",https://laurus.bio,India,https://www.linkedin.com/company/laurusbio/,2005,,Pre-Seed,Food & land use,Alternative foods,,ProVeg Incubator,Rajesh Krishnamurthy,https://www.linkedin.com/in/rajkmurthy/,,,,,,,,,,,,,,,,
InnoNano Research,Nanomaterial-based water purification technologies intended to tackle complex water problems.,http://rtbi.in,India,,2008,18,Seed,Industry,Wastewater,R&D,IIT Madras Incubation Cell,Amrita Chaudhary,https://www.linkedin.com/in/amritachaudhary3/,Co-Founder,Anshup Himanshu,,Co-Founder,Thalappil Pradeep,,Co-Founder,Udhaya Shankar,,Co-Founder,,,,,,
Detect Technologies,Developer of industrial AI products and Internet of Things (IoT) offerings technology intended to simplify decision-making through real-time insights about assets.,http://www.detecttechnologies.com,India,https://www.linkedin.com/company/detect-technologies/,2016,45.7,Series B,Industry,Manufacturing,Launch,"Prosus Ventures, Accel, Startup Réseau, Shell Ventures",Karthik Rajasekaran,https://www.linkedin.com/in/karthik-r-b90a3111b/,Co-Founder and CTO,Harikrishnan Shaji,https://www.linkedin.com/in/harikrishnanas/,Co-Founder and CTO,Daniel David,https://www.linkedin.com/in/daniel-raj-david-240b23106/,Co-Founder and CEO,Tarun Mishra,https://www.linkedin.com/in/tarun-mishra-b7110314b/,Co-Founder and Chief Strategist,,,,,,
Ecozen,Climate-smart technology solutions aimed at improving the agricultural value chain.,https://www.ecozensolutions.com,India,https://www.linkedin.com/company/ecozen-solutions/,2010,63,Series C and Beyond,"Energy, Food & land use","Energy storage, Energy efficiency, Crop yield",Scale-up,"Omnivore, Nuveen Global Fund",Vivek Pandey,,Co-founder and CTO,Prateek Singhal,,Co-founder and COO,Devendra Gupta,,Co-founder and CEO,,,,,,,,,
MyPlan8,"A platform enabling carbon reporting, reduction, and offsetting through employee and community engagement.",https://myplan8.earth,India,https://www.linkedin.com/company/myplan8-earth/,2022,,Seed,"Climate management, Carbon","Carbon marketplace, Emissions reporting",Pilot,"MeitY Startup Hub, Rebalance Accelerator, T-Hub",Koushik Sur,https://www.linkedin.com/in/koushik-sur-cfp-64500021/,Co-Founder,Nidhi Mehra,https://www.linkedin.com/in/nidhi-sagar-mehra/,Co-Founder,Rajat Vishwakarma,https://www.linkedin.com/in/rajatvishwakarma/,Co-Founder,,,,,,,,,
Demolish Foods,Creating plant-based meat alternatives that mimic real meat textures.,http://demolishfoods.com,India,https://www.linkedin.com/company/demolishfoods/,2020,0.122,Seed,Food & land use,Alternative foods,R&D,Humane Entrepreneurship Program,Ravali Amba,https://www.linkedin.com/in/ravali-amba/,CEO,,,,,,,,,,,,,,,
Hycosys,Manufacturer of hydrogen fueled micro gas turbines for power generation.,https://www.hycosys.in,India,https://www.linkedin.com/company/hycosys/about/?viewAsMember=true,2024,,Pre-Seed,Energy,Hydrogen,R&D,,Ugandhar Reddy,https://www.linkedin.com/in/ugandhar-reddy-28306a1aa/,Co-founder & CTO,Tapish Agarwal,https://www.linkedin.com/in/tapish-agarwal-7576744/,Co-Founder & CEO,,,,,,,,,,,,
AGEYE,Vertical farming solutions combining automated racking systems with AI-powered farm management and crop intelligence software.,http://www.ageyetech.com,India,https://www.linkedin.com/company/ageyetechnologies/,2018,0.5,Seed,Food & land use,Indoor farming,Launch,Nouryon,Nick Genty,https://www.linkedin.com/in/nicholasgenty/,Co-founder and CEO,,,,,,,,,,,,,,,
Clairco,Accelerate your buildings' transition to net zero.,https://www.clairco.in,India,https://www.linkedin.com/company/clairco/,2018,0.656,Seed,"Built environment, Energy",Heating & cooling,Pilot,"Adept Ventures, 100X.VC, Panasonic Ignition",Udayan Banerjee,https://www.linkedin.com/in/udayan-banerjee-060290/,Co-founder & COO,Praveena Poojary,https://www.linkedin.com/in/praveena-poojary-5a163a149/,Co-Founder & CTO,Aayush Jha,https://www.linkedin.com/in/aayush-jha/,Co-Founder and CEO,,,,,,,,,
ZASTI India,Carbon tech platform intended to propel businesses on their decarbonization path and to a goal of net-zero emissions.,https://www.zasti.ai,India,https://www.linkedin.com/company/zasti/,2017,1.5,Seed,Carbon,Carbon removal,Prototype,"Lloyd's lab, L Marks, IIT Madras Incubation Cell",Krish R Krishnan,https://www.linkedin.com/in/krishrkrishnan/,Founder and CEO,Rajagopal Jagannathan,https://www.linkedin.com/in/rajagopaljagannathan/,Co-Founder and CTO,,,,,,,,,,,,
Funny Nani (Nayamylk),Using novel crops to reinvent India's favourite animal products.,https://www.funnynani.com,India,https://www.linkedin.com/company/funnynani/,2020,,Pre-Seed,Food & land use,Alternative foods,,Humane Entrepreneurship Program,Yash Khandelwal,https://www.linkedin.com/in/ykhandelwal6/,Strategy Advisor,,,,,,,,,,,,,,,
Jivoule Biofuels,Provides a distributed energy management platform.,https://www.jivoule.com,India,https://www.linkedin.com/company/jivoule-biofuels/,2015,0.1211,Seed,Energy,DERs - Distributed energy resources,Prototype,,Chandrasekhar Nandigama,https://www.linkedin.com/in/chandrasekharnandigama/,Director,,,,,,,,,,,,,,,
Strive,Creating high-protein plant-based meals for a nutritious and sustainable diet.,https://www.strive.store,India,https://www.linkedin.com/company/plantbyte/,2017,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Arthi Deiva,https://www.linkedin.com/in/arthideiva/,Founder & CEO,,,,,,,,,,,,,,,
GalaxEye Space,Develops multi-sensor satellite technology for advanced Earth observation.,https://www.galaxeye.space,India,https://www.linkedin.com/company/galaxeye/,2021,7.3,Series A,"Industry, Climate management",Earth observation,Scale-up,"Mela Ventures, Navam Capital",Denil Chawda,https://www.linkedin.com/in/denil-chawda-6b613b126/,Co-Founder and CTO,Kishan Thakkar,https://www.linkedin.com/in/kishan-thakkar-glx/,VP of Engineering,Suyash Singh,https://www.linkedin.com/in/suyashaoc/,Co-Founder and CEO,,,,,,,,,
Ishitva Robotic Systems,"Using AI, ML, and IoT to provide efficient waste sorting solutions aimed at enhancing recycling processes and creating a circular economy.",https://www.ishitva.in,India,https://www.linkedin.com/company/ishitvasystems/,2018,1,Seed,Industry,Waste & recycling,Prototype,"FirstPort, Plug and Play",Sandip Singh,https://www.linkedin.com/in/sandip-singh-circulareconomy/,CEO,Jitesh Dadlani,https://www.linkedin.com/in/jiteshdadlani/,Co-founder and CTO,,,,,,,,,,,,
Sentra World,Provides an ESG SaaS platform that helps industrial enterprises achieve net-zero emissions verifiable emissions performance measurement.,https://sentra.world,India,https://www.linkedin.com/company/sentra-world/?originalSubdomain=in,2023,2,Seed,Climate management,Emissions reporting,Prototype,"Avaana Capital, RPG Ventures",Vikas Upadhyay,https://www.linkedin.com/in/vikas-upadhyay-b3541848/,Co-founder,Harsh Choudhry,https://www.linkedin.com/in/harsh-choudhry-49924912/,Co-founder and CEO,,,,,,,,,,,,
Piatrika Biosystems,Provides AI-powered tools for genomic discoveries and agricultural trials management.,https://piatrika.com,India,https://linkedin.com/company/piatrika-biosystems/?originalSubdomain=in,2019,1.2,Seed,Food & land use,Crop yield,Pilot,Ankur Capital,Vasudev Acharya Kumanduri,https://www.linkedin.com/in/vasudev-acharya-kumanduri-a3b7b01/,Co-founder and CTO,Phani Gopal Yarlagadda,https://www.linkedin.com/in/phani-gopal-yarlagadda-58396945/,Co-founder,,,,,,,,,,,,
Imagine Meats,Offering a range of plant-based meat products inspired by traditional Indian cuisine.,https://www.imaginemeats.com,India,https://www.linkedin.com/company/imagine-foods/,2021,,,Food & land use,Alternative foods,Launch,,Riteish Deshmuhk,,Co-founder,Genelia Deshmukh,,Co-founder,,,,,,,,,,,,
Briyas,"Providing plant-based, ready-to-cook meals inspired by traditional Asian recipes.",http://briyas.com,India,https://www.linkedin.com/company/briyas-foods-pvt-ltd/,2014,,Pre-Seed,Food & land use,Alternative foods,Launch,,Sivaram Briyas,https://www.linkedin.com/in/sivaram-briyas-b520b149/,Founder & Managing Director,,,,,,,,,,,,,,,
Blue Tribe,Offering plant-based meat alternatives aimed at transforming traditional Indian cuisine.,https://www.bluetribefoods.com,India,https://www.linkedin.com/company/blue-tribe-foods/,2019,,Seed,Food & land use,Alternative foods,Scale-up,,Sandeep Singh,,Co-founder,Nikki Arora Singh,https://www.linkedin.com/in/nikki-arora-singh-5a1826106/?originalSubdomain=in,Co-founder,,,,,,,,,,,,
Plantelo,Offers plant-based snacks made from sustainable ingredients.,https://www.plantelo.in,India,https://www.linkedin.com/company/plantelo/about/,2022,,Pre-Seed,Food & land use,Alternative foods,,,Bhaskar Venkat,https://www.linkedin.com/in/bhaskar-venkat-b83969275/,Founder,,,,,,,,,,,,,,,
Evo Foods,Producing plant-based liquid eggs designed for sustainability and versatility.,https://evofoods.in,India,https://www.linkedin.com/company/evo-foods/,2019,4.3,Seed,Food & land use,Alternative foods,Scale-up,"Sustainable Food Ventures (SFV), Big Idea Ventures, Sandhya Sriram, VegInvest",Kartik Dixit,https://www.linkedin.com/in/kartik-dixit-609179111/?originalSubdomain=in,CEO/Co-founder,,,,,,,,,,,,,,,
Live Yum,Plant-based dairy with focus on cheese and ghee.,,India,,2019,,,Food & land use,Alternative foods,Scale-up,,Taanya Ravi,https://www.linkedin.com/in/taanya-ravi-97a8911b8/?trk=public_profile_browsemap_profile-result-card_result-card_full-click&originalSubdomain=in,Founder and CEO,,,,,,,,,,,,,,,
Varaha,Generates high-quality carbon credits from nature-based solutions to help companies offset their carbon footprints.,https://www.varaha.earth,India,https://www.linkedin.com/company/varaha-carbontech/,2022,13,Series A,Carbon,"Carbon removal, Carbon marketplace",Launch,"RTP Global, Omnivore, Orios Venture Partners, AgFunder",Ankita Garg,https://www.linkedin.com/in/ankitagarg1/,Co-foudner and COO,Vishal Kuchanur,https://www.linkedin.com/in/vishalkuchanur/,Co-founder and CTO,Madhur Jain,https://www.linkedin.com/in/madhurjain89/,Co-founder and CEO,,,,,,,,,
Solar Ladder,Offers a solar sales and design platform for solar professionals.,https://www.solarladder.com,India,https://www.linkedin.com/company/solarladder/,2019,1.3,Seed,Energy,Solar,Pilot,"Atha Group, Axilor Ventures, Titan Capital",Manan Mehta,https://www.linkedin.com/in/manan-mehta-/,Co-Founder,Abhishek Pillai,https://www.linkedin.com/in/abhishek-pillai-6a63a875/,Co-Founder,,,,,,,,,,,,
FarMart,"SaaS platforms to streamline the food supply chain, empowering farmers and retailers through digital solutions.",https://www.farmart.co,India,https://www.linkedin.com/company/farmart-app-os/,2015,48,Series B,Food & land use,Other,Scale-up,"Matrix Partners India, Avaana Capital, General Catalyst, 500 Global",Alekh Sanghera,https://www.linkedin.com/in/alekh-sanghera-58a36778/?originalSubdomain=in,Co-founder and CEO,Mehtab Singh Hans,https://www.linkedin.com/in/mehtab-singh-hans-5a015921/,Co-founder and CFO,,,,,,,,,,,,
Superplum,India’s first digital fruit supply chain to connect the best local farms to the world.,https://www.superplum.com,India,https://www.linkedin.com/company/superplum/?originalSubdomain=in,2019,22.5,Series A,Food & land use,Other,Scale-up,Hellman & Friedman,Navneet Daga,https://www.linkedin.com/in/navneet-daga/,COO,Shobhit Gupta,,Founder and CEO,,,,,,,,,,,,
Piperleaf,"Creator of dairy-free, vegan desserts and alternative plant-based foods.",https://www.piperleaf.in,India,https://www.linkedin.com/company/piperleaf/about/,2020,,,Food & land use,Alternative foods,,,Anshul Agarwal,https://www.linkedin.com/in/anshul-agarwal-3991451a/,Founder & MD,,,,,,,,,,,,,,,
Nutrifresh,"Hydroponic farm, committed to growing and supplying superior quality, non–GMO, residue and pesticide free fruits, vegetables and herbs.",https://nutrifresh.co.in,India,https://www.linkedin.com/company/nutrifresh-farms/,2019,5,Pre-Series A,Food & land use,Indoor farming,Scale-up,Green Frontier Capital,Sanket Mehta,https://www.linkedin.com/in/sanket-mehta-89909136/,Co-founder and CEO,Ganesh Nikam,https://www.linkedin.com/in/ganesh-nikam-abb21a12a/,Co-founder and CFO,,,,,,,,,,,,
Pfood4Kids,"Develops nutritious, plant-based food products for a healthier lifestyle.",https://www.nutriquofoods.com,India,https://www.linkedin.com/company/nutriquofoods/about/,2022,,Pre-Seed,Food & land use,Alternative foods,,,Easwaran Sundaresan,,CEO,,,,,,,,,,,,,,,
Kheyti,"Provides ""Greenhouse-in-a-Box"" to increase yields and save water for small farmers in India.",https://www.kheyti.com,India,https://www.linkedin.com/company/kheyti/,2015,1.2,Pre-Seed,Food & land use,Crop yield,Scale-up,Earthshot Prize,Saumya,https://www.linkedin.com/in/saumyasahay/,Co-founder and Chief Program Officer,Kaushik Kappagantulu,https://www.linkedin.com/in/knrkaushik/,Co-founder and CEO,,,,,,,,,,,,
Esmito Solutions,"SaaS-based platform for real-time monitoring, control and optimization of Batteries, Chargers and e-Vehicles.",https://esmito.co.in,India,https://www.linkedin.com/company/esmito-solutions/,2018,1.39,Seed,Transportation,"Batteries, EV charging / fleet management",Pilot,"Hindustan Petroleum Corporation, Unicorn India Ventures, IIT Madras Incubation Cell",Prabhjot Kaur,https://www.linkedin.com/in/drprabhjotkaur/,Co-Founder and CEO,Akhila Vijaykumar,https://www.linkedin.com/in/akhilavijaykumar/,Co-Founder and Chief of Product testing,,,,,,,,,,,,
Climes,Enables companies and individuals to purchase and trade carbon offsets easily.,https://www.climes.io,India,https://www.linkedin.com/company/climes-io/,2021,1.2,Seed,Carbon,Carbon marketplace,Pilot,Avaana Capital,Anirudh Gupta,https://www.linkedin.com/in/anigup/,Co-Founder,,,,,,,,,,,,,,,
Hrimtron Energy Systems,"Specializes in the design, production, and maintenance of renewable energy systems to promote clean energy solutions.",https://www.hrimtronenergy.com,India,https://www.linkedin.com/company/hrimtron-energy/,2022,,Pre-Seed,Energy,Renewables development,R&D,Social Alpha (India),Rutik Padamwar,https://www.linkedin.com/in/rutik-padamwar-483334215/,Founder and CEO,,,,,,,,,,,,,,,
Yulu,A shared micromobility platform providing electric bikes for urban transportation.,https://www.yulu.bike,India,https://www.linkedin.com/company/yulu/,2017,19.03,Series B,Transportation,Micromobility,Scale-up,"Magna International, Magna Technology Investments",Amit Gupta,https://www.linkedin.com/in/amitgupta007/,Co-Founder & CEO,,,,,,,,,,,,,,,
String Bio,"Converts methane into high-value products like protein, reducing carbon emissions.",https://www.stringbio.com,India,https://www.linkedin.com/company/string-bio-pvt-ltd/?originalSubdomain=in,2013,25,Series B,Food & land use,Alternative foods,Launch,"Dare Ventures, Ankur Capital, Seventure Partners, Woodside Energy",Ezhil Subbian,https://www.linkedin.com/in/ezhilsubbian/,CEO & Founder,Vinod Kumar,https://www.linkedin.com/in/vinodmlkumar/,Managing Director,,,,,,,,,,,,
qZense Labs,"Provider of IoT solutions to minimize food loss by detecting spoilage, ripeness, sweetness, and shelf life.",https://www.qzense.com,India,https://www.linkedin.com/company/qzense/,2019,0.9,Seed,Food & land use,Food waste,Prototype,"SOSV, 9Unicorns, Entrepreneur First",Srishti Batra,https://www.linkedin.com/in/srishtibatra/,Co-founder and CTO,Rubal Chib,https://www.linkedin.com/in/rubalchib/,Co-founder and CEO,,,,,,,,,,,,
TekUncorked,Provides AI-driven energy management solutions for grid efficiency.,https://www.tekuncorked.com,India,https://www.linkedin.com/company/tekuncorked/,2019,0.1,Pre-Seed,Energy,"Grid management, Energy efficiency",Scale-up,"Third Derivative, Zoho Corporation, Climate Collective, Startup Réseau",Meenakshi Vashist,https://www.linkedin.com/in/meenakshivashist/,Co-founder and CEO,Ram Sethi,https://www.linkedin.com/in/ramsethi/,Co-founder and CTO,,,,,,,,,,,,
GreenCell Mobility,Provides electric mobility solutions focusing on buses and commercial fleets.,https://greencellmobility.com,India,https://www.linkedin.com/company/greencell-mobility/posts/?feedView=all,2019,36.8,Series B,Transportation,"EV charging / fleet management, Batteries",Scale-up,"National Investment and Infrastructure Fund (NIIF), Eversource Capital",Vivek Sahni,https://www.linkedin.com/in/viveksahni/,Chief Financial Officer,,,,,,,,,,,,,,,
Bambrew,Designs eco-friendly packaging solutions using materials like bamboo.,https://www.bambrew.in,India,https://www.linkedin.com/company/bambrew/,2018,9.5,Series A,Industry,Packaging,Scale-up,"Blume Ventures, Blue Avsha Capital",Saikat De,https://www.linkedin.com/in/saikat-de-3786aa160/,Co-founder,Vaibhav Anant,https://www.linkedin.com/in/vaibhav-anant-7474275a/?originalSubdomain=in,Co-founder and CEO,,,,,,,,,,,,
altM,Biomaterials startup focused on developing and manufacturing sustainable materials from agricultural residues.,https://www.altm.bio,India,https://www.linkedin.com/company/altm-bio/,2022,3.5,Seed,Industry,Chemicals & plastics,Prototype,Omnivore,Yugal Raj Jain,https://www.linkedin.com/in/yugalrajjain/,Co-founder and CEO,,,,,,,,,,,,,,,
